,ligand,receptor,pathway,ligand_annotation,TF
CNTN1|NOTCH2,CNTN1,NOTCH2,CNTN,unSecreted,"MYC, HEY2, HEY1, SNW1, HES5, RBPJ, HES1, HEYL, RBPJL, GATA3, PAX7, PBX1, NFKB2"
CNTN4|PTPRG,CNTN4,PTPRG,CNTN,unSecreted,"IRF1, TP73, PRDM1, STAT3, DNMT1, SPI1, STAT2, ESR1, STAT1, RELA, STAT5A, JUNB, KLF4, TP53, NFE2L2, KLF5, IRF9, EGR1, ARNT"
CNTN3|PTPRG,CNTN3,PTPRG,CNTN,unSecreted,"IRF1, TP73, PRDM1, STAT3, DNMT1, SPI1, STAT2, ESR1, STAT1, RELA, STAT5A, JUNB, KLF4, TP53, NFE2L2, KLF5, IRF9, EGR1, ARNT"
NFASC|COMPLEX:CNTN1_CNTNAP1,NFASC,COMPLEX:CNTN1_CNTNAP1,CNTN,unSecreted,"PAX8, SOX2, HES5, RBPJ, SMAD1, LEF1, HES1, HIF1A, MEF2C"
CNTN2|COMPLEX:CNTN2_CNTNAP2,CNTN2,COMPLEX:CNTN2_CNTNAP2,CNTN,unSecreted,"SOX2, HIF1A, HES1, HES5, SMAD1, PAX8, MEF2C, RBPJ, LEF1"
CNTN2|L1CAM,CNTN2,L1CAM,CNTN,unSecreted,"STAT3, TP53, NKX3-1, NFE2L2, ATF2, IKZF1, SOX9, NR1H4, FOS"
CNTN2|CNTN2,CNTN2,CNTN2,CNTN,unSecreted,
CNTN1|NRCAM,CNTN1,NRCAM,CNTN,unSecreted,
COL6A6|DDR1,COL6A6,DDR1,COLLAGEN,unSecreted,"TP73, STAT3, PPARG, RXRA, AR, STAT1, STAT5B, IKZF1, GTF2I, CEBPB, STAT6, ESR1, FOS, STAT5A"
COL6A5|DDR1,COL6A5,DDR1,COLLAGEN,unSecreted,"TP73, STAT3, PPARG, RXRA, AR, STAT1, STAT5B, IKZF1, GTF2I, CEBPB, STAT6, ESR1, FOS, STAT5A"
COL3A1|COMPLEX:ITGA10_ITGB1,COL3A1,COMPLEX:ITGA10_ITGB1,COLLAGEN,unSecreted,"NR4A1, PAX8, NRF1, THRA, NFATC4, SP7, CREB5, ESR2, CREB3L1, ATF6B, STAT3, ETV1, POU5F1, SRF, GLI3, DNMT1, TFAP2A, NR5A1, CREB3L4, JUN, HSF1, GATA1, SP1, MLXIPL, RXRA, STAT2, AR, ESR1, STAT1, RELA, FOS, STAT5A, ETV5, ATF1, YBX1, TP53, NFKB1, NKX3-1, ATF4, NR1H4, TWIST1, GLI2, NFE2L2, PDX1, RARA, STAT5B, DLX5, CREB3L2, PPARG, GLI1, ATF2, CREB3, FOXA2, SOX9, RUNX2, PPARA, GTF2I, PBX1, CREB1"
COL3A1|COMPLEX:ITGA2_ITGB1,COL3A1,COMPLEX:ITGA2_ITGB1,COLLAGEN,unSecreted,"NR4A1, PAX8, NRF1, THRA, NFATC4, SP7, CREB5, ESR2, CREB3L1, ATF6B, STAT3, ETV1, POU5F1, SRF, GLI3, DNMT1, TFAP2A, NR5A1, CREB3L4, JUN, HSF1, GATA1, SP1, MLXIPL, RXRA, STAT2, AR, ESR1, STAT1, RELA, FOS, STAT5A, ETV5, ATF1, YBX1, TP53, NFKB1, NKX3-1, ATF4, NR1H4, TWIST1, GLI2, NFE2L2, PDX1, RARA, STAT5B, DLX5, CREB3L2, PPARG, GLI1, ATF2, CREB3, FOXA2, SOX9, RUNX2, PPARA, GTF2I, PBX1, CREB1"
COL3A1|COMPLEX:ITGA1_ITGB1,COL3A1,COMPLEX:ITGA1_ITGB1,COLLAGEN,unSecreted,"NR4A1, PAX8, NRF1, THRA, NFATC4, SP7, CREB5, ESR2, CREB3L1, ATF6B, STAT3, ETV1, POU5F1, SRF, GLI3, DNMT1, TFAP2A, NR5A1, CREB3L4, JUN, HSF1, GATA1, SP1, MLXIPL, RXRA, STAT2, AR, ESR1, STAT1, RELA, FOS, STAT5A, ETV5, ATF1, YBX1, TP53, NFKB1, NKX3-1, ATF4, NR1H4, TWIST1, GLI2, NFE2L2, PDX1, RARA, STAT5B, DLX5, CREB3L2, PPARG, GLI1, ATF2, CREB3, FOXA2, SOX9, RUNX2, PPARA, GTF2I, PBX1, CREB1"
COL3A1|COMPLEX:ITGA11_ITGB1,COL3A1,COMPLEX:ITGA11_ITGB1,COLLAGEN,unSecreted,"NR4A1, PAX8, NRF1, THRA, NFATC4, SP7, CREB5, ESR2, CREB3L1, ATF6B, STAT3, ETV1, POU5F1, SRF, GLI3, DNMT1, TFAP2A, NR5A1, CREB3L4, JUN, HSF1, GATA1, SP1, MLXIPL, RXRA, STAT2, AR, ESR1, STAT1, RELA, FOS, STAT5A, ETV5, ATF1, YBX1, TP53, NFKB1, NKX3-1, ATF4, NR1H4, TWIST1, GLI2, NFE2L2, PDX1, RARA, STAT5B, DLX5, CREB3L2, PPARG, GLI1, ATF2, CREB3, FOXA2, SOX9, RUNX2, PPARA, GTF2I, PBX1, CREB1"
COL3A1|MAG,COL3A1,MAG,COLLAGEN,unSecreted,
COL3A1|DDR1,COL3A1,DDR1,COLLAGEN,unSecreted,"TP73, STAT3, PPARG, RXRA, AR, STAT1, STAT5B, IKZF1, GTF2I, CEBPB, STAT6, ESR1, FOS, STAT5A"
COL3A1|DDR2,COL3A1,DDR2,COLLAGEN,unSecreted,"RXRA, AR, ESR1, STAT1, FOS, STAT3, GTF2I, STAT5A, STAT5B, PPARG"
COL4A1|ITGAV,COL4A1,ITGAV,COLLAGEN,unSecreted,"NFKB1, RUNX3, AR, ESR1, RELA, FOS, HIF1A"
COL4A1|ITGB8,COL4A1,ITGB8,COLLAGEN,unSecreted,"SMAD3, SP1, RXRA, AR, ESR1, STAT1, FOS, STAT3, GTF2I, STAT5A, STAT5B, PPARG, JUN"
COL4A1|DDR1,COL4A1,DDR1,COLLAGEN,unSecreted,"TP73, STAT3, PPARG, RXRA, AR, STAT1, STAT5B, IKZF1, GTF2I, CEBPB, STAT6, ESR1, FOS, STAT5A"
COL4A1|CD93,COL4A1,CD93,COLLAGEN,unSecreted,
COL5A2|COMPLEX:ITGA10_ITGB1,COL5A2,COMPLEX:ITGA10_ITGB1,COLLAGEN,unSecreted,"NR4A1, PAX8, NRF1, THRA, NFATC4, SP7, CREB5, ESR2, CREB3L1, ATF6B, STAT3, ETV1, POU5F1, SRF, GLI3, DNMT1, TFAP2A, NR5A1, CREB3L4, JUN, HSF1, GATA1, SP1, MLXIPL, RXRA, STAT2, AR, ESR1, STAT1, RELA, FOS, STAT5A, ETV5, ATF1, YBX1, TP53, NFKB1, NKX3-1, ATF4, NR1H4, TWIST1, GLI2, NFE2L2, PDX1, RARA, STAT5B, DLX5, CREB3L2, PPARG, GLI1, ATF2, CREB3, FOXA2, SOX9, RUNX2, PPARA, GTF2I, PBX1, CREB1"
COL5A2|COMPLEX:ITGA2_ITGB1,COL5A2,COMPLEX:ITGA2_ITGB1,COLLAGEN,unSecreted,"NR4A1, PAX8, NRF1, THRA, NFATC4, SP7, CREB5, ESR2, CREB3L1, ATF6B, STAT3, ETV1, POU5F1, SRF, GLI3, DNMT1, TFAP2A, NR5A1, CREB3L4, JUN, HSF1, GATA1, SP1, MLXIPL, RXRA, STAT2, AR, ESR1, STAT1, RELA, FOS, STAT5A, ETV5, ATF1, YBX1, TP53, NFKB1, NKX3-1, ATF4, NR1H4, TWIST1, GLI2, NFE2L2, PDX1, RARA, STAT5B, DLX5, CREB3L2, PPARG, GLI1, ATF2, CREB3, FOXA2, SOX9, RUNX2, PPARA, GTF2I, PBX1, CREB1"
COL5A2|COMPLEX:ITGA1_ITGB1,COL5A2,COMPLEX:ITGA1_ITGB1,COLLAGEN,unSecreted,"NR4A1, PAX8, NRF1, THRA, NFATC4, SP7, CREB5, ESR2, CREB3L1, ATF6B, STAT3, ETV1, POU5F1, SRF, GLI3, DNMT1, TFAP2A, NR5A1, CREB3L4, JUN, HSF1, GATA1, SP1, MLXIPL, RXRA, STAT2, AR, ESR1, STAT1, RELA, FOS, STAT5A, ETV5, ATF1, YBX1, TP53, NFKB1, NKX3-1, ATF4, NR1H4, TWIST1, GLI2, NFE2L2, PDX1, RARA, STAT5B, DLX5, CREB3L2, PPARG, GLI1, ATF2, CREB3, FOXA2, SOX9, RUNX2, PPARA, GTF2I, PBX1, CREB1"
COL5A2|COMPLEX:ITGA11_ITGB1,COL5A2,COMPLEX:ITGA11_ITGB1,COLLAGEN,unSecreted,"NR4A1, PAX8, NRF1, THRA, NFATC4, SP7, CREB5, ESR2, CREB3L1, ATF6B, STAT3, ETV1, POU5F1, SRF, GLI3, DNMT1, TFAP2A, NR5A1, CREB3L4, JUN, HSF1, GATA1, SP1, MLXIPL, RXRA, STAT2, AR, ESR1, STAT1, RELA, FOS, STAT5A, ETV5, ATF1, YBX1, TP53, NFKB1, NKX3-1, ATF4, NR1H4, TWIST1, GLI2, NFE2L2, PDX1, RARA, STAT5B, DLX5, CREB3L2, PPARG, GLI1, ATF2, CREB3, FOXA2, SOX9, RUNX2, PPARA, GTF2I, PBX1, CREB1"
COL5A2|DDR1,COL5A2,DDR1,COLLAGEN,unSecreted,"TP73, STAT3, PPARG, RXRA, AR, STAT1, STAT5B, IKZF1, GTF2I, CEBPB, STAT6, ESR1, FOS, STAT5A"
COL4A2|DDR1,COL4A2,DDR1,COLLAGEN,unSecreted,"TP73, STAT3, PPARG, RXRA, AR, STAT1, STAT5B, IKZF1, GTF2I, CEBPB, STAT6, ESR1, FOS, STAT5A"
COL4A2|CD93,COL4A2,CD93,COLLAGEN,unSecreted,
COL11A1|COMPLEX:ITGA10_ITGB1,COL11A1,COMPLEX:ITGA10_ITGB1,COLLAGEN,unSecreted,"NR4A1, PAX8, NRF1, THRA, NFATC4, SP7, CREB5, ESR2, CREB3L1, ATF6B, STAT3, ETV1, POU5F1, SRF, GLI3, DNMT1, TFAP2A, NR5A1, CREB3L4, JUN, HSF1, GATA1, SP1, MLXIPL, RXRA, STAT2, AR, ESR1, STAT1, RELA, FOS, STAT5A, ETV5, ATF1, YBX1, TP53, NFKB1, NKX3-1, ATF4, NR1H4, TWIST1, GLI2, NFE2L2, PDX1, RARA, STAT5B, DLX5, CREB3L2, PPARG, GLI1, ATF2, CREB3, FOXA2, SOX9, RUNX2, PPARA, GTF2I, PBX1, CREB1"
COL11A1|COMPLEX:ITGA2_ITGB1,COL11A1,COMPLEX:ITGA2_ITGB1,COLLAGEN,unSecreted,"NR4A1, PAX8, NRF1, THRA, NFATC4, SP7, CREB5, ESR2, CREB3L1, ATF6B, STAT3, ETV1, POU5F1, SRF, GLI3, DNMT1, TFAP2A, NR5A1, CREB3L4, JUN, HSF1, GATA1, SP1, MLXIPL, RXRA, STAT2, AR, ESR1, STAT1, RELA, FOS, STAT5A, ETV5, ATF1, YBX1, TP53, NFKB1, NKX3-1, ATF4, NR1H4, TWIST1, GLI2, NFE2L2, PDX1, RARA, STAT5B, DLX5, CREB3L2, PPARG, GLI1, ATF2, CREB3, FOXA2, SOX9, RUNX2, PPARA, GTF2I, PBX1, CREB1"
COL11A1|COMPLEX:ITGA1_ITGB1,COL11A1,COMPLEX:ITGA1_ITGB1,COLLAGEN,unSecreted,"NR4A1, PAX8, NRF1, THRA, NFATC4, SP7, CREB5, ESR2, CREB3L1, ATF6B, STAT3, ETV1, POU5F1, SRF, GLI3, DNMT1, TFAP2A, NR5A1, CREB3L4, JUN, HSF1, GATA1, SP1, MLXIPL, RXRA, STAT2, AR, ESR1, STAT1, RELA, FOS, STAT5A, ETV5, ATF1, YBX1, TP53, NFKB1, NKX3-1, ATF4, NR1H4, TWIST1, GLI2, NFE2L2, PDX1, RARA, STAT5B, DLX5, CREB3L2, PPARG, GLI1, ATF2, CREB3, FOXA2, SOX9, RUNX2, PPARA, GTF2I, PBX1, CREB1"
COL11A1|COMPLEX:ITGA11_ITGB1,COL11A1,COMPLEX:ITGA11_ITGB1,COLLAGEN,unSecreted,"NR4A1, PAX8, NRF1, THRA, NFATC4, SP7, CREB5, ESR2, CREB3L1, ATF6B, STAT3, ETV1, POU5F1, SRF, GLI3, DNMT1, TFAP2A, NR5A1, CREB3L4, JUN, HSF1, GATA1, SP1, MLXIPL, RXRA, STAT2, AR, ESR1, STAT1, RELA, FOS, STAT5A, ETV5, ATF1, YBX1, TP53, NFKB1, NKX3-1, ATF4, NR1H4, TWIST1, GLI2, NFE2L2, PDX1, RARA, STAT5B, DLX5, CREB3L2, PPARG, GLI1, ATF2, CREB3, FOXA2, SOX9, RUNX2, PPARA, GTF2I, PBX1, CREB1"
COL11A1|DDR1,COL11A1,DDR1,COLLAGEN,unSecreted,"TP73, STAT3, PPARG, RXRA, AR, STAT1, STAT5B, IKZF1, GTF2I, CEBPB, STAT6, ESR1, FOS, STAT5A"
COL6A1|DDR1,COL6A1,DDR1,COLLAGEN,unSecreted,"TP73, STAT3, PPARG, RXRA, AR, STAT1, STAT5B, IKZF1, GTF2I, CEBPB, STAT6, ESR1, FOS, STAT5A"
COL6A2|DDR1,COL6A2,DDR1,COLLAGEN,unSecreted,"TP73, STAT3, PPARG, RXRA, AR, STAT1, STAT5B, IKZF1, GTF2I, CEBPB, STAT6, ESR1, FOS, STAT5A"
COL6A3|DDR1,COL6A3,DDR1,COLLAGEN,unSecreted,"TP73, STAT3, PPARG, RXRA, AR, STAT1, STAT5B, IKZF1, GTF2I, CEBPB, STAT6, ESR1, FOS, STAT5A"
COL11A2|COMPLEX:ITGA10_ITGB1,COL11A2,COMPLEX:ITGA10_ITGB1,COLLAGEN,unSecreted,"NR4A1, PAX8, NRF1, THRA, NFATC4, SP7, CREB5, ESR2, CREB3L1, ATF6B, STAT3, ETV1, POU5F1, SRF, GLI3, DNMT1, TFAP2A, NR5A1, CREB3L4, JUN, HSF1, GATA1, SP1, MLXIPL, RXRA, STAT2, AR, ESR1, STAT1, RELA, FOS, STAT5A, ETV5, ATF1, YBX1, TP53, NFKB1, NKX3-1, ATF4, NR1H4, TWIST1, GLI2, NFE2L2, PDX1, RARA, STAT5B, DLX5, CREB3L2, PPARG, GLI1, ATF2, CREB3, FOXA2, SOX9, RUNX2, PPARA, GTF2I, PBX1, CREB1"
COL11A2|COMPLEX:ITGA2_ITGB1,COL11A2,COMPLEX:ITGA2_ITGB1,COLLAGEN,unSecreted,"NR4A1, PAX8, NRF1, THRA, NFATC4, SP7, CREB5, ESR2, CREB3L1, ATF6B, STAT3, ETV1, POU5F1, SRF, GLI3, DNMT1, TFAP2A, NR5A1, CREB3L4, JUN, HSF1, GATA1, SP1, MLXIPL, RXRA, STAT2, AR, ESR1, STAT1, RELA, FOS, STAT5A, ETV5, ATF1, YBX1, TP53, NFKB1, NKX3-1, ATF4, NR1H4, TWIST1, GLI2, NFE2L2, PDX1, RARA, STAT5B, DLX5, CREB3L2, PPARG, GLI1, ATF2, CREB3, FOXA2, SOX9, RUNX2, PPARA, GTF2I, PBX1, CREB1"
COL11A2|COMPLEX:ITGA1_ITGB1,COL11A2,COMPLEX:ITGA1_ITGB1,COLLAGEN,unSecreted,"NR4A1, PAX8, NRF1, THRA, NFATC4, SP7, CREB5, ESR2, CREB3L1, ATF6B, STAT3, ETV1, POU5F1, SRF, GLI3, DNMT1, TFAP2A, NR5A1, CREB3L4, JUN, HSF1, GATA1, SP1, MLXIPL, RXRA, STAT2, AR, ESR1, STAT1, RELA, FOS, STAT5A, ETV5, ATF1, YBX1, TP53, NFKB1, NKX3-1, ATF4, NR1H4, TWIST1, GLI2, NFE2L2, PDX1, RARA, STAT5B, DLX5, CREB3L2, PPARG, GLI1, ATF2, CREB3, FOXA2, SOX9, RUNX2, PPARA, GTF2I, PBX1, CREB1"
COL11A2|COMPLEX:ITGA11_ITGB1,COL11A2,COMPLEX:ITGA11_ITGB1,COLLAGEN,unSecreted,"NR4A1, PAX8, NRF1, THRA, NFATC4, SP7, CREB5, ESR2, CREB3L1, ATF6B, STAT3, ETV1, POU5F1, SRF, GLI3, DNMT1, TFAP2A, NR5A1, CREB3L4, JUN, HSF1, GATA1, SP1, MLXIPL, RXRA, STAT2, AR, ESR1, STAT1, RELA, FOS, STAT5A, ETV5, ATF1, YBX1, TP53, NFKB1, NKX3-1, ATF4, NR1H4, TWIST1, GLI2, NFE2L2, PDX1, RARA, STAT5B, DLX5, CREB3L2, PPARG, GLI1, ATF2, CREB3, FOXA2, SOX9, RUNX2, PPARA, GTF2I, PBX1, CREB1"
COL9A1|MAG,COL9A1,MAG,COLLAGEN,unSecreted,
COL5A1|COMPLEX:ITGA10_ITGB1,COL5A1,COMPLEX:ITGA10_ITGB1,COLLAGEN,unSecreted,"NR4A1, PAX8, NRF1, THRA, NFATC4, SP7, CREB5, ESR2, CREB3L1, ATF6B, STAT3, ETV1, POU5F1, SRF, GLI3, DNMT1, TFAP2A, NR5A1, CREB3L4, JUN, HSF1, GATA1, SP1, MLXIPL, RXRA, STAT2, AR, ESR1, STAT1, RELA, FOS, STAT5A, ETV5, ATF1, YBX1, TP53, NFKB1, NKX3-1, ATF4, NR1H4, TWIST1, GLI2, NFE2L2, PDX1, RARA, STAT5B, DLX5, CREB3L2, PPARG, GLI1, ATF2, CREB3, FOXA2, SOX9, RUNX2, PPARA, GTF2I, PBX1, CREB1"
COL5A1|COMPLEX:ITGA2_ITGB1,COL5A1,COMPLEX:ITGA2_ITGB1,COLLAGEN,unSecreted,"NR4A1, PAX8, NRF1, THRA, NFATC4, SP7, CREB5, ESR2, CREB3L1, ATF6B, STAT3, ETV1, POU5F1, SRF, GLI3, DNMT1, TFAP2A, NR5A1, CREB3L4, JUN, HSF1, GATA1, SP1, MLXIPL, RXRA, STAT2, AR, ESR1, STAT1, RELA, FOS, STAT5A, ETV5, ATF1, YBX1, TP53, NFKB1, NKX3-1, ATF4, NR1H4, TWIST1, GLI2, NFE2L2, PDX1, RARA, STAT5B, DLX5, CREB3L2, PPARG, GLI1, ATF2, CREB3, FOXA2, SOX9, RUNX2, PPARA, GTF2I, PBX1, CREB1"
COL5A1|COMPLEX:ITGA1_ITGB1,COL5A1,COMPLEX:ITGA1_ITGB1,COLLAGEN,unSecreted,"NR4A1, PAX8, NRF1, THRA, NFATC4, SP7, CREB5, ESR2, CREB3L1, ATF6B, STAT3, ETV1, POU5F1, SRF, GLI3, DNMT1, TFAP2A, NR5A1, CREB3L4, JUN, HSF1, GATA1, SP1, MLXIPL, RXRA, STAT2, AR, ESR1, STAT1, RELA, FOS, STAT5A, ETV5, ATF1, YBX1, TP53, NFKB1, NKX3-1, ATF4, NR1H4, TWIST1, GLI2, NFE2L2, PDX1, RARA, STAT5B, DLX5, CREB3L2, PPARG, GLI1, ATF2, CREB3, FOXA2, SOX9, RUNX2, PPARA, GTF2I, PBX1, CREB1"
COL5A1|COMPLEX:ITGA11_ITGB1,COL5A1,COMPLEX:ITGA11_ITGB1,COLLAGEN,unSecreted,"NR4A1, PAX8, NRF1, THRA, NFATC4, SP7, CREB5, ESR2, CREB3L1, ATF6B, STAT3, ETV1, POU5F1, SRF, GLI3, DNMT1, TFAP2A, NR5A1, CREB3L4, JUN, HSF1, GATA1, SP1, MLXIPL, RXRA, STAT2, AR, ESR1, STAT1, RELA, FOS, STAT5A, ETV5, ATF1, YBX1, TP53, NFKB1, NKX3-1, ATF4, NR1H4, TWIST1, GLI2, NFE2L2, PDX1, RARA, STAT5B, DLX5, CREB3L2, PPARG, GLI1, ATF2, CREB3, FOXA2, SOX9, RUNX2, PPARA, GTF2I, PBX1, CREB1"
COL5A1|SDC3,COL5A1,SDC3,COLLAGEN,unSecreted,"PAX8, SOX2, HES5, RBPJ, SMAD1, LEF1, HES1, HIF1A, MEF2C"
COL5A1|DDR1,COL5A1,DDR1,COLLAGEN,unSecreted,"TP73, STAT3, PPARG, RXRA, AR, STAT1, STAT5B, IKZF1, GTF2I, CEBPB, STAT6, ESR1, FOS, STAT5A"
COL8A2|COMPLEX:ITGA10_ITGB1,COL8A2,COMPLEX:ITGA10_ITGB1,COLLAGEN,unSecreted,"NR4A1, PAX8, NRF1, THRA, NFATC4, SP7, CREB5, ESR2, CREB3L1, ATF6B, STAT3, ETV1, POU5F1, SRF, GLI3, DNMT1, TFAP2A, NR5A1, CREB3L4, JUN, HSF1, GATA1, SP1, MLXIPL, RXRA, STAT2, AR, ESR1, STAT1, RELA, FOS, STAT5A, ETV5, ATF1, YBX1, TP53, NFKB1, NKX3-1, ATF4, NR1H4, TWIST1, GLI2, NFE2L2, PDX1, RARA, STAT5B, DLX5, CREB3L2, PPARG, GLI1, ATF2, CREB3, FOXA2, SOX9, RUNX2, PPARA, GTF2I, PBX1, CREB1"
COL8A2|COMPLEX:ITGA2_ITGB1,COL8A2,COMPLEX:ITGA2_ITGB1,COLLAGEN,unSecreted,"NR4A1, PAX8, NRF1, THRA, NFATC4, SP7, CREB5, ESR2, CREB3L1, ATF6B, STAT3, ETV1, POU5F1, SRF, GLI3, DNMT1, TFAP2A, NR5A1, CREB3L4, JUN, HSF1, GATA1, SP1, MLXIPL, RXRA, STAT2, AR, ESR1, STAT1, RELA, FOS, STAT5A, ETV5, ATF1, YBX1, TP53, NFKB1, NKX3-1, ATF4, NR1H4, TWIST1, GLI2, NFE2L2, PDX1, RARA, STAT5B, DLX5, CREB3L2, PPARG, GLI1, ATF2, CREB3, FOXA2, SOX9, RUNX2, PPARA, GTF2I, PBX1, CREB1"
COL8A2|COMPLEX:ITGA1_ITGB1,COL8A2,COMPLEX:ITGA1_ITGB1,COLLAGEN,unSecreted,"NR4A1, PAX8, NRF1, THRA, NFATC4, SP7, CREB5, ESR2, CREB3L1, ATF6B, STAT3, ETV1, POU5F1, SRF, GLI3, DNMT1, TFAP2A, NR5A1, CREB3L4, JUN, HSF1, GATA1, SP1, MLXIPL, RXRA, STAT2, AR, ESR1, STAT1, RELA, FOS, STAT5A, ETV5, ATF1, YBX1, TP53, NFKB1, NKX3-1, ATF4, NR1H4, TWIST1, GLI2, NFE2L2, PDX1, RARA, STAT5B, DLX5, CREB3L2, PPARG, GLI1, ATF2, CREB3, FOXA2, SOX9, RUNX2, PPARA, GTF2I, PBX1, CREB1"
COL8A2|COMPLEX:ITGA11_ITGB1,COL8A2,COMPLEX:ITGA11_ITGB1,COLLAGEN,unSecreted,"NR4A1, PAX8, NRF1, THRA, NFATC4, SP7, CREB5, ESR2, CREB3L1, ATF6B, STAT3, ETV1, POU5F1, SRF, GLI3, DNMT1, TFAP2A, NR5A1, CREB3L4, JUN, HSF1, GATA1, SP1, MLXIPL, RXRA, STAT2, AR, ESR1, STAT1, RELA, FOS, STAT5A, ETV5, ATF1, YBX1, TP53, NFKB1, NKX3-1, ATF4, NR1H4, TWIST1, GLI2, NFE2L2, PDX1, RARA, STAT5B, DLX5, CREB3L2, PPARG, GLI1, ATF2, CREB3, FOXA2, SOX9, RUNX2, PPARA, GTF2I, PBX1, CREB1"
COL8A1|COMPLEX:ITGA10_ITGB1,COL8A1,COMPLEX:ITGA10_ITGB1,COLLAGEN,unSecreted,"NR4A1, PAX8, NRF1, THRA, NFATC4, SP7, CREB5, ESR2, CREB3L1, ATF6B, STAT3, ETV1, POU5F1, SRF, GLI3, DNMT1, TFAP2A, NR5A1, CREB3L4, JUN, HSF1, GATA1, SP1, MLXIPL, RXRA, STAT2, AR, ESR1, STAT1, RELA, FOS, STAT5A, ETV5, ATF1, YBX1, TP53, NFKB1, NKX3-1, ATF4, NR1H4, TWIST1, GLI2, NFE2L2, PDX1, RARA, STAT5B, DLX5, CREB3L2, PPARG, GLI1, ATF2, CREB3, FOXA2, SOX9, RUNX2, PPARA, GTF2I, PBX1, CREB1"
COL8A1|COMPLEX:ITGA2_ITGB1,COL8A1,COMPLEX:ITGA2_ITGB1,COLLAGEN,unSecreted,"NR4A1, PAX8, NRF1, THRA, NFATC4, SP7, CREB5, ESR2, CREB3L1, ATF6B, STAT3, ETV1, POU5F1, SRF, GLI3, DNMT1, TFAP2A, NR5A1, CREB3L4, JUN, HSF1, GATA1, SP1, MLXIPL, RXRA, STAT2, AR, ESR1, STAT1, RELA, FOS, STAT5A, ETV5, ATF1, YBX1, TP53, NFKB1, NKX3-1, ATF4, NR1H4, TWIST1, GLI2, NFE2L2, PDX1, RARA, STAT5B, DLX5, CREB3L2, PPARG, GLI1, ATF2, CREB3, FOXA2, SOX9, RUNX2, PPARA, GTF2I, PBX1, CREB1"
COL8A1|COMPLEX:ITGA1_ITGB1,COL8A1,COMPLEX:ITGA1_ITGB1,COLLAGEN,unSecreted,"NR4A1, PAX8, NRF1, THRA, NFATC4, SP7, CREB5, ESR2, CREB3L1, ATF6B, STAT3, ETV1, POU5F1, SRF, GLI3, DNMT1, TFAP2A, NR5A1, CREB3L4, JUN, HSF1, GATA1, SP1, MLXIPL, RXRA, STAT2, AR, ESR1, STAT1, RELA, FOS, STAT5A, ETV5, ATF1, YBX1, TP53, NFKB1, NKX3-1, ATF4, NR1H4, TWIST1, GLI2, NFE2L2, PDX1, RARA, STAT5B, DLX5, CREB3L2, PPARG, GLI1, ATF2, CREB3, FOXA2, SOX9, RUNX2, PPARA, GTF2I, PBX1, CREB1"
COL8A1|COMPLEX:ITGA11_ITGB1,COL8A1,COMPLEX:ITGA11_ITGB1,COLLAGEN,unSecreted,"NR4A1, PAX8, NRF1, THRA, NFATC4, SP7, CREB5, ESR2, CREB3L1, ATF6B, STAT3, ETV1, POU5F1, SRF, GLI3, DNMT1, TFAP2A, NR5A1, CREB3L4, JUN, HSF1, GATA1, SP1, MLXIPL, RXRA, STAT2, AR, ESR1, STAT1, RELA, FOS, STAT5A, ETV5, ATF1, YBX1, TP53, NFKB1, NKX3-1, ATF4, NR1H4, TWIST1, GLI2, NFE2L2, PDX1, RARA, STAT5B, DLX5, CREB3L2, PPARG, GLI1, ATF2, CREB3, FOXA2, SOX9, RUNX2, PPARA, GTF2I, PBX1, CREB1"
COL8A1|DDR1,COL8A1,DDR1,COLLAGEN,unSecreted,"TP73, STAT3, PPARG, RXRA, AR, STAT1, STAT5B, IKZF1, GTF2I, CEBPB, STAT6, ESR1, FOS, STAT5A"
COL4A5|DDR1,COL4A5,DDR1,COLLAGEN,unSecreted,"TP73, STAT3, PPARG, RXRA, AR, STAT1, STAT5B, IKZF1, GTF2I, CEBPB, STAT6, ESR1, FOS, STAT5A"
COL4A5|CD93,COL4A5,CD93,COLLAGEN,unSecreted,
COL15A1|COMPLEX:ITGA10_ITGB1,COL15A1,COMPLEX:ITGA10_ITGB1,COLLAGEN,unSecreted,"NR4A1, PAX8, NRF1, THRA, NFATC4, SP7, CREB5, ESR2, CREB3L1, ATF6B, STAT3, ETV1, POU5F1, SRF, GLI3, DNMT1, TFAP2A, NR5A1, CREB3L4, JUN, HSF1, GATA1, SP1, MLXIPL, RXRA, STAT2, AR, ESR1, STAT1, RELA, FOS, STAT5A, ETV5, ATF1, YBX1, TP53, NFKB1, NKX3-1, ATF4, NR1H4, TWIST1, GLI2, NFE2L2, PDX1, RARA, STAT5B, DLX5, CREB3L2, PPARG, GLI1, ATF2, CREB3, FOXA2, SOX9, RUNX2, PPARA, GTF2I, PBX1, CREB1"
